location,aliases,alias_count,is_ambiguous_common_word,verification_method,notes
Aaba-Jbeshit area,Aaba;Ebba;Jbeshit;Jbaachit;Jbchit,5,0,composite,union of Aaba + Jbeshit aliases
Adloun-Abu al-Aswad area,Adloun;Adlun;Abu al-Aswad;Abou el-Aswad,4,0,composite,union of Adloun + Abu al-Aswad aliases
Ain al-Mazraab road (Tibnine),Tibnine;Tebnine;Tibnin;Ain al-Mazraab,4,0,composite,"anchored on Tibnine, the named town"
Al-Aamriyeh checkpoint (Qlaile-Tyre road),Aamriyeh;Al-Aamriyeh;Qlaile;Qlayle;Kleileh,5,0,composite,Tyre alias deliberately excluded here - see ambiguity note on the standalone Tyre entry; Qlaile carries this one
Al-Awainat (between Rmeish and Debel),Rmeish;Rmaich;Debel;Deble;Dibl;Awainat,6,0,composite,union of Rmeish + Debel aliases
Beit Yahoun-Tibnine road,Beit Yahoun;Beit Yahoune;Tibnine;Tebnine,4,0,composite,union of Beit Yahoun + Tibnine aliases
Bint Jbeil-Aytaroun road,Bint Jbeil;Bint Jbail;Aytaroun;Aitaroun,4,0,composite,union of Bint Jbeil + Aytaroun aliases
Burj al-Shamali road,Burj al-Shamali;Bourj el-Chemali;Burj Shemali;Burj al-Chamali,4,0,composite,"single named place, road qualifier dropped"
Habbouch-Arabsalim area,Habbouch;Habboush;Arabsalim;Arab Salim,4,0,composite,union of Habbouch + Arabsalim aliases
Habbouch-Nabatieh highway,Habbouch;Habboush;Nabatieh;Nabatiyeh,4,0,composite,union of Habbouch + Nabatieh aliases
Jbeshit-Nabatieh highway,Jbeshit;Jbaachit;Nabatieh;Nabatiyeh,4,0,composite,union of Jbeshit + Nabatieh aliases
Kfartebnit (Kawthar school road),Kfartebnit;Kfar Tebnit;Kfartibnit,3,0,composite,"single named place, road qualifier dropped"
Kfartebnit-Arnoun road,Kfartebnit;Kfar Tebnit;Arnoun;Arnoune,4,0,composite,union of Kfartebnit + Arnoun aliases
Kfartebnit-Arnoun-Nabatieh roundabout,Kfartebnit;Kfar Tebnit;Arnoun;Arnoune;Nabatieh;Nabatiyeh,6,0,composite,union of three constituent place aliases
Sharqiya/Kawthariyet al-Sayad road,Sharqiya;Charkiyeh;Kawthariyet al-Sayad;Kaouthariyet el-Siyad,4,0,composite,union of Sharqiya + Kawthariyet al-Sayad aliases
Zawtar al-Sharqiya road,Zawtar al-Sharqiya;Zoutar el-Charkiyeh;Zawtar East;Zoutar Charkiye,4,0,composite,"single named place, road qualifier dropped"
Zawtar al-Sharqiya/al-Gharbiya area,Zawtar al-Sharqiya;Zoutar el-Charkiyeh;Zawtar al-Gharbiya;Zoutar el-Gharbiyeh;Zawtar East;Zawtar West,6,0,composite,union of Zawtar al-Sharqiya + al-Gharbiya aliases
Zebdine-Nabatieh road,Zebdine;Zebdin;Zibdine;Nabatieh;Nabatiyeh,5,0,composite,union of Zebdine + Nabatieh aliases
أركي (Arki),Arki;Erke;Arkeh,3,0,convention,
أوتوستراد زحلة الكرك (Zahle-Kark highway),Zahle;Zahleh;Kark;Zahle-Kark highway,4,0,composite,highway named for Zahle city + Kark locality
الأوزاعي (Ouzai),Ouzai;Ouzai;Awzai;Al-Ouzai,4,0,convention,
البازورية (Bazouriyeh),Bazouriyeh;Bazourieh;Bazuriyeh,3,0,convention,
البزالية (Bzaaliyeh),Bzaaliyeh;Bzaalieh;Bzalieh,3,0,convention,
البيسارية (Beisariyeh),Beisariyeh;Bissariyeh;Baysariyeh,3,0,convention,
الجميجمة (Al-Jmeijmeh),Jmeijmeh;Jmaijmeh;Al-Jmeijmeh,3,0,convention,
الجناح (Jnah),Jnah;Jnaah,2,0,verified,"Beirut neighborhood, common form is 'Jnah'"
