location_day_id,location,event_date,status,confirming_url,query_used,reason
LD-2026-03-03-صديقين (Saddiqine/Siddiqine),صديقين (Saddiqine/Siddiqine),2026-03-03,uncovered,,"(""Saddiqine"" OR ""Siddikine"" OR ""Sedikine"") AND Lebanon","Zero results, D0-D3. D+7 also zero. Small incident (2 deaths, rural South Lebanon)."
LD-2026-03-03-قبريحا (Qabrikha),قبريحا (Qabrikha),2026-03-03,covered,https://www.dailysabah.com/world/mid-east/israeli-forces-kill-at-least-12-in-lebanon-strikes-ground-invasion,"(""Qabrikha"" OR ""Kabrikha"") AND Lebanon","[alias match: ""qabrikha""] Confirmed via full-text fetch, base/generic query. alias match: ""qabrikha"""
LD-2026-03-04-بعلبك (Baalbek city),بعلبك (Baalbek city),2026-03-04,covered,https://www.bernama.com/en/news.php/?id=2531600,"(""Baalbek"" OR ""Baalbeck"") AND Lebanon AND (residential OR ""6 killed"" OR building OR airstrike)","[alias match: ""baalbek""] Confirmed via full-text fetch, base/generic query. alias match: ""baalbek"""
LD-2026-03-04-طريق المطار (Airport Road),طريق المطار (Airport Road),2026-03-04,covered,https://www.aa.com.tr/en/middle-east/3-killed-6-injured-in-israeli-airstrikes-on-beirut-airport-road/3850578,"(""Airport Road"" OR ""Beirut Airport Road"" OR ""Beirut international airport road"") AND Lebanon AND (strike OR airstrike OR raid OR killed OR attack OR shelling)","Result 2 of 2 (base query). Title itself is an exact match: ""3 killed, 6 injured in Israeli airstrikes on Beirut airport road."" Result 1 (a US Senate war-powers story) was inspected and ruled not relevant to this location-day."
LD-2026-03-04-عرمون / السعديات,عرمون / السعديات,2026-03-04,covered,https://www.9news.com.au/world/us-israel-attack-iran-country-by-country-here-is-how-the-unfolding-war-is-affecting-the-middle-east-and-beyond/f2073115-4157-431a-a658-b4a34b89a7ec,"(""Aramoun"" OR ""Aarammoune"" OR ""Saadiyat"" OR ""Saadiyate"") AND Lebanon","[alias match: ""aramoun""] Confirmed via full-text fetch, base/generic query. alias match: ""aramoun"""
LD-2026-03-05-أوتوستراد زحلة الكرك (Zahle-Kark highway),أوتوستراد زحلة الكرك (Zahle-Kark highway),2026-03-05,uncovered,,"(""Zahle-Kark highway"" OR ""Zahle-Karak highway"") AND Lebanon AND (vehicle OR car); alt: (""Karak highway"" OR ""Zahle-Karak"" OR ""Karak-Zahle"") AND Lebanon","AUDIT CORRECTION: both confirming results (almanar.com.lb, twice, across two separate queries) are Lebanese domestic outlets and are excluded from international confirmations. The one non-Lebanese candidate present in both query result sets (aa.com.tr, ""Israeli army launches fresh airstrikes on southern Lebanon amid escalation"") was checked directly and is about Marjayoun/Nabatieh/Jezzine strikes -- a different region, not this event. No non-Lebanese source confirms this location-day after two targeted queries (3 results each, all inspected). Domestic (Lebanese) coverage of the event exists; no international coverage was found."
LD-2026-03-05-القليلة (Qlaile),القليلة (Qlaile),2026-03-05,uncovered,,"(""Qlaile"" OR ""Klaile"" OR ""Qlayleh"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 1 results (not confirmed to an article, informational only)."
LD-2026-03-05-الكفور (Kfour),الكفور (Kfour),2026-03-05,covered,https://www.bbc.com/news/articles/cj32750e7j6o,"(""Kfour"" OR ""Kfor"" OR ""Al-Kfour"") AND Lebanon","[alias match: ""kfour""] Confirmed via full-text fetch, base/generic query. alias match: ""kfour"""
LD-2026-03-05-زوطر / كفرتبنيت,زوطر / كفرتبنيت,2026-03-05,unresolved,,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar al-Gharbiya"" OR ""Kfartebnit"" OR ""Kfar Tebnit"") AND Lebanon AND (strike OR airstrike OR raid OR killed OR attack OR shelling)","DOWNGRADED on duplicate-source audit: Confirming article is an Israeli army EVACUATION WARNING (""warns 4 villages to evacuate ahead of attack""), not a report that an attack occurred -- does not actually confirm this location-day's fatal event took place."
LD-2026-03-05-زوطر الشرقية (Zawtar al-Sharqiya),زوطر الشرقية (Zawtar al-Sharqiya),2026-03-05,unresolved,,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",DOWNGRADED on duplicate-source audit: Same evacuation-warning-article issue as above; does not confirm an attack occurred.
LD-2026-03-05-كفررمان (Kfarremen),كفررمان (Kfarremen),2026-03-05,unresolved,,"(""Kfarremen"" OR ""Kfar Remen"" OR ""Kfar Rumman"" OR ""Kfar Roummane"") AND Lebanon","DOWNGRADED on duplicate-source audit: Same Dawn article also confirms Khirbet Selm on Mar 7 (that location-day's own recorded NNA date); the article most plausibly describes Mar 7 events, not Mar 5. Confirmation kept on the Mar 7 Kfarremen row instead."
LD-2026-03-05-لبايا (Libaya),لبايا (Libaya),2026-03-05,uncovered,,"(""Libaya"" OR ""Lebaya"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-05-مخيم البداوي (Beddawi camp),مخيم البداوي (Beddawi camp),2026-03-05,covered,https://www.aljazeera.com/gallery/2026/3/5/buildings-devastated-by-israeli-strikes-in-lebanon-death-toll-rises-to-77,"(""Beddawi"" OR ""Baddawi"") AND Lebanon","Result 5 of 68 (base query). Article states ""an Israeli drone strike on an apartment in the Beddawi Palestinian refugee camp near Tripoli killed senior Hamas official Wassim Atallah al-Ali and his wife"" -- matches incident record (2 deaths, residential apartment)."
LD-2026-03-05-مشغرة (Mashghara),مشغرة (Mashghara),2026-03-05,covered,https://www.independent.co.uk/news/world/middle-east/us-iran-strikes-tehran-war-bombs-residents-b2933255.html,"(""Mashghara"" OR ""Machghara"") AND Lebanon","[alias match: ""mashghara""] Confirmed via full-text fetch, base/generic query. alias match: ""mashghara"""
LD-2026-03-05-معركة (Maaraka),معركة (Maaraka),2026-03-05,uncovered,,"(""Maaraka"" OR ""Maarakeh"" OR ""Maarake"") AND Lebanon AND (""family"" OR ""displaced"" OR ""airstrike"" OR ""present"")",Base query: no_nonlebanese_candidates. Fallback query: zero results.
LD-2026-03-06-الحنية (Al-Haniyeh),الحنية (Al-Haniyeh),2026-03-06,unresolved,,"(""Haniyeh"" OR ""Haniye"" OR ""El-Haniyeh"") AND Lebanon","DOWNGRADED: FINAL VERIFICATION PASS: ""Haniyeh""/""Haniye"" match is a name collision with Ismail Haniyeh, the assassinated Hamas political leader -- the article (Al Jazeera Mossad/Iran-strikes feature) never refers to the Lebanese village. False positive."
LD-2026-03-06-الدوير (Al-Dawir),الدوير (Al-Dawir),2026-03-06,unresolved,,"(""Dawir"" OR ""Douair"" OR ""Ed-Doueir"" OR ""Al-Dawir"") AND Lebanon","DOWNGRADED on duplicate-source audit: The confirming BERNAMA article explicitly states events happened ""Sunday"" (Mar 8, since Mar 2 = Monday), not Mar 6. Confirmation kept on the Mar 8 Al-Dawir row instead."
LD-2026-03-06-السعيدة (Saaideh),السعيدة (Saaideh),2026-03-06,uncovered,,"(""Saaideh"" OR ""Saaida"" OR ""Al-Saaideh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-06-الشياح (Chiyah),الشياح (Chiyah),2026-03-06,unresolved,,"(""Chiyah"" OR ""Shiyah"" OR ""Al-Shiyah"" OR ""Mar Mikhael"" OR ""Mar Mikhail"") AND Lebanon","DOWNGRADED on duplicate-source audit: The confirming PBS/AP article (published Monday Mar 9) describes the Chiyah strike as happening that same Monday, i.e. Mar 9, not Mar 6."
LD-2026-03-06-المروانية (Marwaniyeh),المروانية (Marwaniyeh),2026-03-06,uncovered,,"(""Marwaniyeh"" OR ""Marouaniye"" OR ""Al-Marwaniyeh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-06-النبي شيت (Nabi Chit/Nabi Sheet),النبي شيت (Nabi Chit/Nabi Sheet),2026-03-06,unresolved,,"(""Nabi Chit"" OR ""Nabi Sheet"" OR ""Nabi Shit"") AND Lebanon AND (residential OR ""10 killed"" OR neighborhood OR neighbourhood)","AUDIT CORRECTION: the jpost.com article previously cited here was misattributed -- on inspection it describes a Sunday (Mar 8) helicopter-landing attempt and a Friday (Mar 6) ground search for Ron Arad remains, not the residential airstrike (10 dead) recorded for this location-day. Base query top 10 inspected (jpost row1 ruled out), then one stricter query run (61 results, top 10 inspected, including the PBS/AP article that turned out to describe the Mar 7 event instead -- see below). No article confirming the specific Mar 6 residential-strike toll was found within the ~17 unique candidates inspected across both queries, out of 150+61 total results. Per instruction, not called uncovered given the large unindexed remainder -- marked unresolved."
LD-2026-03-06-بئر حسن (Bir Hassan),بئر حسن (Bir Hassan),2026-03-06,uncovered,,"(""Bir Hassan"" OR ""Beer Hassan"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-06-تول (Toul),تول (Toul),2026-03-06,covered,https://www.aa.com.tr/en/middle-east/israel-kills-19-more-in-airstrikes-across-lebanon/3852996,"(""Toul"" OR ""Tul"") AND Lebanon","[alias match: ""toul""] Confirmed via full-text fetch, base/generic query. alias match: ""toul"""
LD-2026-03-06-جبشيت (Jbeshit),جبشيت (Jbeshit),2026-03-06,uncovered,,"(""Jbeshit"" OR ""Jbaachit"" OR ""Jbchit"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-06-صريفا (Srifa),صريفا (Srifa),2026-03-06,covered,https://www.aljazeera.com/news/2026/3/6/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit,"(""Srifa"" OR ""Sreifa"" OR ""Sarifa"") AND Lebanon","Result 9 of 26 (base query). Article quotes NNA: ""nighttime strikes on the towns of Srifa, Aita al-Shaab, Touline, as-Sawana and Majdal Selem."""
LD-2026-03-06-صيدا (Sidon),صيدا (Sidon),2026-03-06,uncovered,,"(""Sidon"" OR ""Saida"") AND Lebanon AND (""Al-Maqassed"" OR ""5 killed"")",Zero results at D0-D3.
LD-2026-03-06-قلاويه (Qalawiyeh),قلاويه (Qalawiyeh),2026-03-06,uncovered,,"(""Qalawiyeh"" OR ""Qalaouiye"" OR ""Kalawiye"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-06-كفررمان (Kfarremen),كفررمان (Kfarremen),2026-03-06,unresolved,,"(""Kfarremen"" OR ""Kfar Remen"" OR ""Kfar Rumman"" OR ""Kfar Roummane"") AND Lebanon","DOWNGRADED on duplicate-source audit (second pass): the same Dawn article also confirms Khirbet Selm on Mar 7 (that location-day's own recorded NNA date) and Kfarremen on Mar 7 in the full run. The article most plausibly describes Mar 7 events, not Mar 6. Superseded by the Mar 7 Kfarremen row."
LD-2026-03-06-مجدل سلم (Majdal Selem),مجدل سلم (Majdal Selem),2026-03-06,covered,https://www.benzinga.com/news/politics/26/03/51089484/us-iran-war-march-6-updates-iranian-military-academy-hit-saudi-arabia-intercepts-3-drones-etihad-airways-resumes-key-flights,"(""Majdal Selem"" OR ""Majdal Silm"" OR ""Majdel Selm"") AND Lebanon","[alias match: ""majdal selem""] Confirmed via full-text fetch, base/generic query. alias match: ""majdal selem"""
LD-2026-03-07-Sharqiya/Kawthariyet al-Sayad road,Sharqiya/Kawthariyet al-Sayad road,2026-03-07,covered,https://www.bbc.com/swahili/live/c9dn3xwg1vdt,"(""Sharqiya"" OR ""Charkiyeh"" OR ""Kawthariyet al-Sayad"" OR ""Kaouthariyet el-Siyad"") AND Lebanon","[alias match: ""sharqiya""] Confirmed via full-text fetch, base/generic query. alias match: ""sharqiya"""
LD-2026-03-07-الشرقية (Sharqiya),الشرقية (Sharqiya),2026-03-07,uncovered,,"(""Sharqiya village"" OR ""Charkiyeh"") AND Lebanon AND (strike OR airstrike OR raid OR killed OR attack OR shelling)","Zero results, D0-D3. D+7 also zero -- no delayed coverage either. Small incident (3 deaths, rural Nabatieh)."
