location_day_id,location,event_date,status,confirming_url,confirmation_method,query_used,reason
LD-2026-03-03-قبريحا (Qabrikha),قبريحا (Qabrikha),2026-03-03,covered,https://www.dailysabah.com/world/mid-east/israeli-forces-kill-at-least-12-in-lebanon-strikes-ground-invasion,"alias match: ""qabrikha""","(""Qabrikha"" OR ""Kabrikha"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""qabrikha"""
LD-2026-03-04-عرمون / السعديات,عرمون / السعديات,2026-03-04,covered,https://www.9news.com.au/world/us-israel-attack-iran-country-by-country-here-is-how-the-unfolding-war-is-affecting-the-middle-east-and-beyond/f2073115-4157-431a-a658-b4a34b89a7ec,"alias match: ""aramoun""","(""Aramoun"" OR ""Aarammoune"" OR ""Saadiyat"" OR ""Saadiyate"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""aramoun"""
LD-2026-03-05-القليلة (Qlaile),القليلة (Qlaile),2026-03-05,uncovered,,,"(""Qlaile"" OR ""Klaile"" OR ""Qlayleh"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 1 results (not confirmed to an article, informational only)."
LD-2026-03-04-بعلبك (Baalbek city),بعلبك (Baalbek city),2026-03-04,covered,https://www.bernama.com/en/news.php/?id=2531600,"alias match: ""baalbek""","(""Baalbek"" OR ""Baalbeck"") AND Lebanon AND (residential OR ""6 killed"" OR building OR airstrike)","Confirmed via full-text fetch, base/generic query. alias match: ""baalbek"""
LD-2026-03-05-الكفور (Kfour),الكفور (Kfour),2026-03-05,covered,https://www.bbc.com/news/articles/cj32750e7j6o,"alias match: ""kfour""","(""Kfour"" OR ""Kfor"" OR ""Al-Kfour"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""kfour"""
LD-2026-03-05-زوطر / كفرتبنيت,زوطر / كفرتبنيت,2026-03-05,unresolved,,,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar al-Gharbiya"" OR ""Kfartebnit"" OR ""Kfar Tebnit"") AND Lebanon AND (strike OR airstrike OR raid OR killed OR attack OR shelling)","DOWNGRADED on duplicate-source audit: Confirming article is an Israeli army EVACUATION WARNING (""warns 4 villages to evacuate ahead of attack""), not a report that an attack occurred -- does not actually confirm this location-day's fatal event took place."
LD-2026-03-05-زوطر الشرقية (Zawtar al-Sharqiya),زوطر الشرقية (Zawtar al-Sharqiya),2026-03-05,unresolved,,,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",DOWNGRADED on duplicate-source audit: Same evacuation-warning-article issue as above; does not confirm an attack occurred.
LD-2026-03-05-كفررمان (Kfarremen),كفررمان (Kfarremen),2026-03-05,unresolved,,,"(""Kfarremen"" OR ""Kfar Remen"" OR ""Kfar Rumman"" OR ""Kfar Roummane"") AND Lebanon","DOWNGRADED on duplicate-source audit: Same Dawn article also confirms Khirbet Selm on Mar 7 (that location-day's own recorded NNA date); the article most plausibly describes Mar 7 events, not Mar 5. Confirmation kept on the Mar 7 Kfarremen row instead."
LD-2026-03-05-مشغرة (Mashghara),مشغرة (Mashghara),2026-03-05,covered,https://www.independent.co.uk/news/world/middle-east/us-iran-strikes-tehran-war-bombs-residents-b2933255.html,"alias match: ""mashghara""","(""Mashghara"" OR ""Machghara"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""mashghara"""
LD-2026-03-05-معركة (Maaraka),معركة (Maaraka),2026-03-05,uncovered,,,"(""Maaraka"" OR ""Maarakeh"" OR ""Maarake"") AND Lebanon AND (""family"" OR ""displaced"" OR ""airstrike"" OR ""present"")",Base query: no_nonlebanese_candidates. Fallback query: zero results.
LD-2026-03-06-الحنية (Al-Haniyeh),الحنية (Al-Haniyeh),2026-03-06,covered,https://www.aljazeera.com/features/2026/3/8/israels-mossad-relies-on-us-cover-and-security-rot-for-iran-strikes?traffic_source=rss,"alias match: ""haniyeh""","(""Haniyeh"" OR ""Haniye"" OR ""El-Haniyeh"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""haniyeh"""
LD-2026-03-06-السعيدة (Saaideh),السعيدة (Saaideh),2026-03-06,uncovered,,,"(""Saaideh"" OR ""Saaida"" OR ""Al-Saaideh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-06-المروانية (Marwaniyeh),المروانية (Marwaniyeh),2026-03-06,uncovered,,,"(""Marwaniyeh"" OR ""Marouaniye"" OR ""Al-Marwaniyeh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-06-الشياح (Chiyah),الشياح (Chiyah),2026-03-06,unresolved,,,"(""Chiyah"" OR ""Shiyah"" OR ""Al-Shiyah"" OR ""Mar Mikhael"" OR ""Mar Mikhail"") AND Lebanon","DOWNGRADED on duplicate-source audit: The confirming PBS/AP article (published Monday Mar 9) describes the Chiyah strike as happening that same Monday, i.e. Mar 9, not Mar 6."
LD-2026-03-06-بئر حسن (Bir Hassan),بئر حسن (Bir Hassan),2026-03-06,uncovered,,,"(""Bir Hassan"" OR ""Beer Hassan"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-06-جبشيت (Jbeshit),جبشيت (Jbeshit),2026-03-06,uncovered,,,"(""Jbeshit"" OR ""Jbaachit"" OR ""Jbchit"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-06-صيدا (Sidon),صيدا (Sidon),2026-03-06,uncovered,,,"(""Sidon"" OR ""Saida"") AND Lebanon AND (""Al-Maqassed"" OR ""5 killed"")",Zero results at D0-D3.
LD-2026-03-07-Sharqiya/Kawthariyet al-Sayad road,Sharqiya/Kawthariyet al-Sayad road,2026-03-07,covered,https://www.bbc.com/swahili/live/c9dn3xwg1vdt,"alias match: ""sharqiya""","(""Sharqiya"" OR ""Charkiyeh"" OR ""Kawthariyet al-Sayad"" OR ""Kaouthariyet el-Siyad"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""sharqiya"""
LD-2026-03-07-النبي شيت (Nabi Chit/Nabi Sheet),النبي شيت (Nabi Chit/Nabi Sheet),2026-03-07,covered,https://www.npr.org/2026/03/10/g-s1-113081/photos-iran-us-israel-war-middle-east-week-2,"alias match: ""nabi chit""","(""Nabi Chit"" OR ""Nabi Sheet"" OR ""Nabi Shit"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""nabi chit"""
LD-2026-03-07-جبال البطم (Jabal al-Botm),جبال البطم (Jabal al-Botm),2026-03-07,uncovered,,,"(""Jabal al-Botm"" OR ""Jabal el-Botom"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-07-جبشيت (Jbeshit),جبشيت (Jbeshit),2026-03-07,uncovered,,,"(""Jbeshit"" OR ""Jbaachit"" OR ""Jbchit"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-07-خربة سلم (Khirbet Selm),خربة سلم (Khirbet Selm),2026-03-07,covered,https://www.dawn.com/news/1979651/israeli-strikes-on-south-lebanon-kill-eight-ministry,"alias match: ""kherbet selm""","(""Khirbet Selm"" OR ""Khirbet Silm"" OR ""Kherbet Selm"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""kherbet selm"""
LD-2026-03-07-صريفا (Srifa),صريفا (Srifa),2026-03-07,covered,https://www.bernama.com/en/news.php/?id=2532785,"alias match: ""sarifa""","(""Srifa"" OR ""Sreifa"" OR ""Sarifa"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""sarifa"""
LD-2026-03-07-كفرتبنيت (Kfartebnit),كفرتبنيت (Kfartebnit),2026-03-07,uncovered,,,"(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 1 results (not confirmed to an article, informational only)."
LD-2026-03-07-كفررمان (Kfarremen),كفررمان (Kfarremen),2026-03-07,covered,https://www.dawn.com/news/1979651/israeli-strikes-on-south-lebanon-kill-eight-ministry,"alias match: ""kfar rumman""","(""Kfarremen"" OR ""Kfar Remen"" OR ""Kfar Rumman"" OR ""Kfar Roummane"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""kfar rumman"""
LD-2026-03-07-كوثرية الرز (Kawthariyet al-Rez),كوثرية الرز (Kawthariyet al-Rez),2026-03-07,uncovered,,,"(""Kawthariyet al-Rez"" OR ""Kaouthariyet el-Rez"" OR ""Kawtharieh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-08-الروشة (Raouche),الروشة (Raouche),2026-03-08,covered,https://dawatmedia24.com/world/iran-says-four-diplomats-killed-in-israeli-strike-in-beirut-vows-accountability/,"alias match: ""raouche""","(""Raouche"" OR ""Rawshe"" OR ""Rawcheh"" OR ""Al-Rawsheh"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""raouche"""
LD-2026-03-08-الشعيتية (Al-Shaitiyeh),الشعيتية (Al-Shaitiyeh),2026-03-08,uncovered,,,"(""Shaitiyeh"" OR ""Chaytiyeh"" OR ""Al-Shaitiyeh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-08-الغازية (Ghazieh),الغازية (Ghazieh),2026-03-08,uncovered,,,"(""Ghazieh"" OR ""Ghaziyeh"" OR ""Al-Ghazieh"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 2 results (not confirmed to an article, informational only)."
LD-2026-03-08-الدوير (Al-Dawir),الدوير (Al-Dawir),2026-03-08,covered,https://www.bernama.com/en/news.php/?id=2532021,"title casualty match: ""6 killed""","(""Dawir"" OR ""Douair"" OR ""Ed-Doueir"" OR ""Al-Dawir"") AND Lebanon","Confirmed via full-text fetch, base/generic query. title casualty match: ""6 killed"""
LD-2026-03-07-ميفدون (Meifadoun),ميفدون (Meifadoun),2026-03-07,uncovered,,,"(""Meifadoun"" OR ""Meifdoun"" OR ""Meifadoune"") AND Lebanon",Zero results at D0-D3.
