location_day_id,location,event_date,status,confirming_url,query_used,reason
LD-2026-03-06-النبي شيت (Nabi Chit/Nabi Sheet),النبي شيت (Nabi Chit/Nabi Sheet),2026-03-06,unresolved,,"(""Nabi Chit"" OR ""Nabi Sheet"" OR ""Nabi Shit"") AND Lebanon AND (residential OR ""10 killed"" OR neighborhood OR neighbourhood)","AUDIT CORRECTION: the jpost.com article previously cited here was misattributed -- on inspection it describes a Sunday (Mar 8) helicopter-landing attempt and a Friday (Mar 6) ground search for Ron Arad remains, not the residential airstrike (10 dead) recorded for this location-day. Base query top 10 inspected (jpost row1 ruled out), then one stricter query run (61 results, top 10 inspected, including the PBS/AP article that turned out to describe the Mar 7 event instead -- see below). No article confirming the specific Mar 6 residential-strike toll was found within the ~17 unique candidates inspected across both queries, out of 150+61 total results. Per instruction, not called uncovered given the large unindexed remainder -- marked unresolved."
LD-2026-03-07-النبي شيت (Nabi Chit),النبي شيت (Nabi Chit),2026-03-07,covered,https://www.pbs.org/newshour/world/lebanese-parliament-extends-term-by-2-years-as-israel-intensifies-attacks-on-lebanon,"(""Nabi Chit"" OR ""Nabi Sheet"" OR ""Nabi Shit"" OR ""Khirbeh"" OR ""Kherbet"" OR ""Sarain"" OR ""Ali al-Nahri"") AND Lebanon","AUDIT CORRECTION: previously cited the same jpost.com article as the Mar 6 row (the double-use flagged for audit); that article's dating does not match Mar 7. Replaced with PBS/AP (published Mar 9), which states Hezbollah repelled a helicopter landing attempt ""in the same area where a commando force landed two days earlier to search for the remains of Ron Arad"" -- ""two days earlier"" than a Monday Mar 9 publish date is Saturday Mar 7, matching this location-day's ground-commando-raid event exactly. Note: this source does not independently corroborate the 26-death toll, only the date/location/event type."
LD-2026-03-28-طريق جزين (Jezzine road),طريق جزين (Jezzine road),2026-03-28,covered,https://www.einpresswire.com/article/902833089/nuj-condemns-the-killing-of-three-journalists-in-lebanon,"(""Jezzine"" OR ""Jazzine"" OR ""Jezzin"") AND Lebanon","Result 1 of 105 (base query). Explicitly states ""an Israeli drone strike on a media car in Jezzine, southern Lebanon... on 28 March"" -- exact date and location match."
LD-2026-03-18-بيروت (Beirut),بيروت (Beirut),2026-03-18,covered,https://www.dailysabah.com/world/mid-east/israel-kills-at-least-12-in-central-beirut-in-ramped-up-airstrikes,"(""Basta"" OR ""al-Basta"" OR ""Zuqaq al-Blat"" OR ""Zokak el-Blat"") AND Lebanon","Generic location -- used incident-specific neighborhood query per instruction, not the bare ""Beirut"" alias. Result 9 of 46. AFP/Daily Sabah article explicitly names both strikes: ""apartment block in the Zuqaq al-Blat district"" and ""a strike in the nearby Basta district"", with matching toll (10 killed, 27 wounded)."
LD-2026-03-11-الرملة البيضاء (Ramlet al-Baida),الرملة البيضاء (Ramlet al-Baida),2026-03-11,covered,https://www.theguardian.com/world/2026/mar/14/lebanon-israel-hezbollah-war-deaths,"(""Ramlet al-Baida"" OR ""Ramlet el-Baida"" OR ""Raml el-Baida"" OR ""Ramlet Al-Bayda"") AND Lebanon","Result 1 of 63 (base query). Guardian feature explicitly describes the double-tap drone strike ""in the central Beirut neighbourhood of Ramlet al-Baida"" with matching detail (corniche, blood on sand)."
LD-2026-03-08-صور (Tyre),صور (Tyre),2026-03-08,covered,https://www.bernama.com/en/news.php/?id=2532021,"(""Al Athar"" OR ""al-Aathar"" OR ""Athar area"" OR ""Hay al-Athar"") AND Lebanon","AUDIT CORRECTION -- alternative-query search completed: the first alias variant (""Al-Athar""/""Athar neighborhood"") returned 0 results, but a second alternative-transliteration query found it. BERNAMA (Malaysian national news agency, republishing Anadolu Ajansi copy) states explicitly: ""Another strike hit the Al-Athar neighbourhood in the city of Tire, leaving eight people dead"" -- exact match to the incident record (8 deaths). Non-Lebanese source."
LD-2026-03-07-الشرقية (Sharqiya),الشرقية (Sharqiya),2026-03-07,uncovered,,"(""Sharqiya village"" OR ""Charkiyeh"") AND Lebanon AND (strike OR airstrike OR raid OR killed OR attack OR shelling)","Zero results, D0-D3. D+7 also zero -- no delayed coverage either. Small incident (3 deaths, rural Nabatieh)."
LD-2026-03-07-زبدين (Zebdine),زبدين (Zebdine),2026-03-07,uncovered,,"(""Zebdine"" OR ""Zebdin"" OR ""Zibdine"") AND Lebanon","AUDIT CORRECTION -- death coding resolved: location_day.csv previously showed deaths_total=0 for this row, which was a data bug (the aggregation script silently treated NNA's unquantified casualty report -- ""a number of martyrs,"" no figure given -- as a numeric zero rather than unknown). Fixed at the source in 09_location_day_aggregate.py; this location-day's deaths_total now reads ""unknown (unspecified, >=1 per NNA)."" The search result itself is unchanged: 0 results at D0-D3, 0 at D+7. This is a small, single-report incident with a real but unquantified death toll and no located coverage, domestic or international."
LD-2026-03-04-طريق المطار (Airport Road),طريق المطار (Airport Road),2026-03-04,covered,https://www.aa.com.tr/en/middle-east/3-killed-6-injured-in-israeli-airstrikes-on-beirut-airport-road/3850578,"(""Airport Road"" OR ""Beirut Airport Road"" OR ""Beirut international airport road"") AND Lebanon AND (strike OR airstrike OR raid OR killed OR attack OR shelling)","Result 2 of 2 (base query). Title itself is an exact match: ""3 killed, 6 injured in Israeli airstrikes on Beirut airport road."" Result 1 (a US Senate war-powers story) was inspected and ruled not relevant to this location-day."
LD-2026-03-12-أركي (Arki),أركي (Arki),2026-03-12,covered,https://www.aljazeera.com/news/2026/3/13/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation,"(""Arki"" OR ""Erke"" OR ""Arkeh"") AND Lebanon","Result 1 of 48 (base query). Article explicitly states ""Nine people, including five children, were killed in Arki near Sidon"" -- matches incident record (9 deaths, 7 injuries)."
LD-2026-03-08-عين الحلوة (Ain al-Hilweh camp),عين الحلوة (Ain al-Hilweh camp),2026-03-08,covered,https://www.bernama.com/en/news.php/?id=2532021,"(""Ain al-Hilweh"" OR ""Ein el-Hilweh"" OR ""Ain al-Helweh"") AND Lebanon","AUDIT CORRECTION: naharnet.com is a Lebanese domestic outlet, excluded from international confirmations. Own base query still has a valid non-Lebanese candidate (aa.com.tr, result 7 of 8: ""Israeli warplanes strike Palestinian refugee camp in southern Lebanon,"" dated Mar 8, though it does not name Ain al-Hilweh explicitly). Stronger confirmation is the same BERNAMA/Anadolu article used for Tyre above (both towns were struck the same day and covered in one roundup): ""a third strike targeted the Ain al-Hilweh Palestinian refugee camp in the southern city of Sidon, killing one Palestinian and injuring 10 others, including three Lebanese nationals"" -- exact match to the incident record (1 death, 10 injured: 3 Lebanese + 7 Palestinian)."
LD-2026-03-13-الجناح (Jnah),الجناح (Jnah),2026-03-13,covered,https://www.aljazeera.com/news/2026/3/13/israel-destroys-bridge-in-lebanon-and-threatens-gaza-scale-devastation,"(""Jnah"" OR ""Jnaah"") AND Lebanon","Result 1 of 34 (base query). Same AJ article as Arki above; explicitly states ""separate strikes hit the Jnah and Nabaa neighbourhoods."""
LD-2026-03-06-صريفا (Srifa),صريفا (Srifa),2026-03-06,covered,https://www.aljazeera.com/news/2026/3/6/death-toll-in-israels-lebanon-attacks-over-120-as-beirut-south-east-hit,"(""Srifa"" OR ""Sreifa"" OR ""Sarifa"") AND Lebanon","Result 9 of 26 (base query). Article quotes NNA: ""nighttime strikes on the towns of Srifa, Aita al-Shaab, Touline, as-Sawana and Majdal Selem."""
LD-2026-03-06-كفررمان (Kfarremen),كفررمان (Kfarremen),2026-03-06,unresolved,,"(""Kfarremen"" OR ""Kfar Remen"" OR ""Kfar Rumman"" OR ""Kfar Roummane"") AND Lebanon","DOWNGRADED on duplicate-source audit (second pass): the same Dawn article also confirms Khirbet Selm on Mar 7 (that location-day's own recorded NNA date) and Kfarremen on Mar 7 in the full run. The article most plausibly describes Mar 7 events, not Mar 6. Superseded by the Mar 7 Kfarremen row."
LD-2026-03-03-صديقين (Saddiqine/Siddiqine),صديقين (Saddiqine/Siddiqine),2026-03-03,uncovered,,"(""Saddiqine"" OR ""Siddikine"" OR ""Sedikine"") AND Lebanon","Zero results, D0-D3. D+7 also zero. Small incident (2 deaths, rural South Lebanon)."
LD-2026-03-05-مخيم البداوي (Beddawi camp),مخيم البداوي (Beddawi camp),2026-03-05,covered,https://www.aljazeera.com/gallery/2026/3/5/buildings-devastated-by-israeli-strikes-in-lebanon-death-toll-rises-to-77,"(""Beddawi"" OR ""Baddawi"") AND Lebanon","Result 5 of 68 (base query). Article states ""an Israeli drone strike on an apartment in the Beddawi Palestinian refugee camp near Tripoli killed senior Hamas official Wassim Atallah al-Ali and his wife"" -- matches incident record (2 deaths, residential apartment)."
LD-2026-03-05-أوتوستراد زحلة الكرك (Zahle-Kark highway),أوتوستراد زحلة الكرك (Zahle-Kark highway),2026-03-05,uncovered,,"(""Zahle-Kark highway"" OR ""Zahle-Karak highway"") AND Lebanon AND (vehicle OR car); alt: (""Karak highway"" OR ""Zahle-Karak"" OR ""Karak-Zahle"") AND Lebanon","AUDIT CORRECTION: both confirming results (almanar.com.lb, twice, across two separate queries) are Lebanese domestic outlets and are excluded from international confirmations. The one non-Lebanese candidate present in both query result sets (aa.com.tr, ""Israeli army launches fresh airstrikes on southern Lebanon amid escalation"") was checked directly and is about Marjayoun/Nabatieh/Jezzine strikes -- a different region, not this event. No non-Lebanese source confirms this location-day after two targeted queries (3 results each, all inspected). Domestic (Lebanese) coverage of the event exists; no international coverage was found."
LD-2026-03-24-بشامون (Bshamoun),بشامون (Bshamoun),2026-03-24,covered,https://www.dailysabah.com/world/mid-east/iran-israel-keep-trading-blows-amid-mixed-trump-talk-messages,"(""Bshamoun"" OR ""Bchamoun"") AND Lebanon","Result 5 of 43 (base query). Article states ""a strike on Bshamoun, south of the capital, killed two people Tuesday,"" with a named-resident quote from Bshamoun."
LD-2026-03-17-قعقعية الجسر (Qaaqaait al-Jisr),قعقعية الجسر (Qaaqaait al-Jisr),2026-03-17,uncovered,,"(""Qaaqaait al-Jisr"" OR ""Kaakaait el-Jisr"" OR ""Qaaqaaiyet al-Jisr"") AND Lebanon","Zero results, D0-D3. Secondary D+7 indicator: 5 results appeared by D+7 -- possible delayed coverage, not confirmed to an individual article (D+7 is secondary/informational only per instruction)."
LD-2026-03-31-خلدة (Khaldeh),خلدة (Khaldeh),2026-03-31,covered,https://diplomat.so/articles/1060/Israel-Targets-Multiple-Areas-in-Lebanon-Air-Raids,"(""Khaldeh"" OR ""Khalde"") AND Lebanon","Result 3 of 33 (base query). Article states ""another strike on a vehicle along the Khaldeh road south of the capital resulted in two fatalities, Lebanon's National News Agency reported"" -- matches incident record (2 deaths, car strike)."
